Nordwind und Sonne	18
Einst stritten sich Nordwind und Sonne, wer von ihnen beiden wohl der Stärkere wäre, als ein Wanderer, der in einen warmen Mantel gehüllt war, des Weges daherkam.	162
Sie wurden einig, dass derjenige für den Stärkeren gelten sollte, der den Wanderer zwingen würde, seinen Mantel abzunehmen.	123
Der Nordwind blies mit aller Macht, aber je mehr er blies, desto fester hüllte sich der Wanderer in seinen Mantel ein.	118
Endlich gab der Nordwind den Kampf auf.	39
Nun erwärmte die Sonne die Luft mit ihren freundlichen Strahlen, und schon nach wenigen Augenblicken zog der Wanderer seinen Mantel aus.	136
Da musste der Nordwind zugeben, dass die Sonne von ihnen beiden der Stärkere war.	81
Mond	4
Eimer	5
Baum	4
Ball	4
Gabel	5
Blume	5
Brief	5
Brille	6
Zebra	5
Pilz	4
Wippe	5
Korb	4
Pferd	5
Apfel	5
Topf	4
Vogel	5
Marienkäfer	11
Schiff	6
Pflaster	8
Flasche	7
Frosch	6
Quak	4
Wurst	5
Löwe	4
Lampe	5
Teller	6
Ball	4
Nuss	4
Kanne	5
Telefon	7
Dusche	6
Feder	5
Rad	3
Drachen	7
Tasse	5
Auto	4
Bett	4
Trecker	7
Zitrone	7
Jäger	5
Milch	5
Eichhörnchen	12
Taucher	7
Buch	4
Roller	6
Schere	6
Giesskanne	10
Nagel	5
Berg	4
Glas	4
Gras	4
Grün	4
Schlange	8
Kuh	3
Jacke	5
Sack	4
Kleid	5
Krokodil	8
Knöpfe	7
Sonne	5
Hase	4
Haus	4
Zange	5
Katze	5
Pilz	4
Zwerg	5
Hexe	4
Schuh	5
Tasche	6
Fisch	5
Schlüssel	9
Schmetterling	13
Schnecke	8
Spinne	6
Schrank	7
Schwein	7
Stuhl	5
Kiste	5
Nest	4
Spritze	7
Strumpf	7
Rutsche	7
Anker	5
Bank	4
Punkt	5
Arzt	4
Bild	4
Hund	4
Fenster	7
Gespenst	8
Schornstein	11
Erdbeere	8
Heizung	7
Elefant	7
Springt	7
Kaputt	6
Unfall	6
Tiger	5
Gitarre	7
